GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0500000US01001,01001,"Autauga County, Alabama",24974,1080,(X),(X)
0500000US01003,01003,"Baldwin County, Alabama",27317,711,(X),(X)
0500000US01005,01005,"Barbour County, Alabama",16824,798,(X),(X)
0500000US01007,01007,"Bibb County, Alabama",18431,1618,(X),(X)
0500000US01009,01009,"Blount County, Alabama",20532,708,(X),(X)
0500000US01011,01011,"Bullock County, Alabama",17580,2055,(X),(X)
0500000US01013,01013,"Butler County, Alabama",18390,714,(X),(X)
0500000US01015,01015,"Calhoun County, Alabama",21374,489,(X),(X)
0500000US01017,01017,"Chambers County, Alabama",21071,1366,(X),(X)
0500000US01019,01019,"Cherokee County, Alabama",21811,1556,(X),(X)
0500000US01021,01021,"Chilton County, Alabama",21399,1446,(X),(X)
0500000US01023,01023,"Choctaw County, Alabama",20755,1380,(X),(X)
0500000US01025,01025,"Clarke County, Alabama",20064,1469,(X),(X)
0500000US01027,01027,"Clay County, Alabama",18905,1067,(X),(X)
0500000US01029,01029,"Cleburne County, Alabama",20151,1357,(X),(X)
0500000US01031,01031,"Coffee County, Alabama",24936,854,(X),(X)
0500000US01033,01033,"Colbert County, Alabama",22546,917,(X),(X)
0500000US01035,01035,"Conecuh County, Alabama",15968,1369,(X),(X)
0500000US01037,01037,"Coosa County, Alabama",17519,961,(X),(X)
0500000US01039,01039,"Covington County, Alabama",20977,723,(X),(X)
0500000US01041,01041,"Crenshaw County, Alabama",20585,1229,(X),(X)
0500000US01043,01043,"Cullman County, Alabama",20881,727,(X),(X)
0500000US01045,01045,"Dale County, Alabama",22566,911,(X),(X)
0500000US01047,01047,"Dallas County, Alabama",17808,788,(X),(X)
0500000US01049,01049,"DeKalb County, Alabama",18411,588,(X),(X)
0500000US01051,01051,"Elmore County, Alabama",24381,941,(X),(X)
0500000US01053,01053,"Escambia County, Alabama",17045,848,(X),(X)
0500000US01055,01055,"Etowah County, Alabama",20500,518,(X),(X)
0500000US01057,01057,"Fayette County, Alabama",19545,1183,(X),(X)
0500000US01059,01059,"Franklin County, Alabama",18595,975,(X),(X)
0500000US01061,01061,"Geneva County, Alabama",20224,1298,(X),(X)
0500000US01063,01063,"Greene County, Alabama",13611,1741,(X),(X)
0500000US01065,01065,"Hale County, Alabama",18877,1217,(X),(X)
0500000US01067,01067,"Henry County, Alabama",22931,1429,(X),(X)
0500000US01069,01069,"Houston County, Alabama",23925,460,(X),(X)
0500000US01071,01071,"Jackson County, Alabama",20066,779,(X),(X)
0500000US01073,01073,"Jefferson County, Alabama",27240,404,(X),(X)
0500000US01075,01075,"Lamar County, Alabama",20130,2359,(X),(X)
0500000US01077,01077,"Lauderdale County, Alabama",24215,786,(X),(X)
0500000US01079,01079,"Lawrence County, Alabama",21369,1033,(X),(X)
0500000US01081,01081,"Lee County, Alabama",24356,772,(X),(X)
0500000US01083,01083,"Limestone County, Alabama",25569,1111,(X),(X)
0500000US01085,01085,"Lowndes County, Alabama",18429,2698,(X),(X)
0500000US01087,01087,"Macon County, Alabama",17374,698,(X),(X)
0500000US01089,01089,"Madison County, Alabama",32131,601,(X),(X)
0500000US01091,01091,"Marengo County, Alabama",21471,1907,(X),(X)
0500000US01093,01093,"Marion County, Alabama",20042,1069,(X),(X)
0500000US01095,01095,"Marshall County, Alabama",21363,676,(X),(X)
0500000US01097,01097,"Mobile County, Alabama",22953,363,(X),(X)
0500000US01099,01099,"Monroe County, Alabama",15863,927,(X),(X)
0500000US01101,01101,"Montgomery County, Alabama",25138,526,(X),(X)
0500000US01103,01103,"Morgan County, Alabama",24449,631,(X),(X)
0500000US01105,01105,"Perry County, Alabama",14804,1610,(X),(X)
0500000US01107,01107,"Pickens County, Alabama",17957,1158,(X),(X)
0500000US01109,01109,"Pike County, Alabama",19415,843,(X),(X)
0500000US01111,01111,"Randolph County, Alabama",19363,1300,(X),(X)
0500000US01113,01113,"Russell County, Alabama",19882,790,(X),(X)
0500000US01115,01115,"St. Clair County, Alabama",24168,894,(X),(X)
0500000US01117,01117,"Shelby County, Alabama",33494,798,(X),(X)
0500000US01119,01119,"Sumter County, Alabama",12887,809,(X),(X)
0500000US01121,01121,"Talladega County, Alabama",19598,623,(X),(X)
0500000US01123,01123,"Tallapoosa County, Alabama",21177,875,(X),(X)
